model,doc_id,source_file,status,reason,gt_file_exists,matched_count,gt_only_count,pred_only_count,gt_defendant_count,pred_defendant_count,llm_calls,input_tokens,output_tokens,total_tokens,fallback_errors,fallback_used
one_call,29-05-2025-Ha_Noi-2ta1928859t1cvn,29-05-2025-Ha_Noi-2ta1928859t1cvn.json,processed,ok,True,1,0,0,1,1,1,1648,577,2225,0,False
one_call,29-07-2024-Binh_Thuan-2ta1628040t1cvn,29-07-2024-Binh_Thuan-2ta1628040t1cvn.json,processed,ok,True,1,0,0,1,1,1,1449,585,2034,0,False
one_call,29-08-2025-Hung_Yen-2ta1949802t1cvn,29-08-2025-Hung_Yen-2ta1949802t1cvn.json,processed,ok,True,2,0,0,2,2,1,2287,1247,3534,0,False
one_call,29-08-2025-Lam_Dong-2ta1965044t1cvn,29-08-2025-Lam_Dong-2ta1965044t1cvn.json,processed,ok,True,3,0,0,3,3,1,2890,1488,4378,0,False
one_call,29-09-2025-Lam_Dong-2ta1986980t1cvn,29-09-2025-Lam_Dong-2ta1986980t1cvn.json,processed,ok,True,1,0,0,1,1,1,1665,552,2217,0,False
one_call,29-11-2024-Dien_Bien-2ta1696125t1cvn,29-11-2024-Dien_Bien-2ta1696125t1cvn.json,processed,ok,True,1,0,0,1,1,1,1473,562,2035,0,False
one_call,29-12-2025-Son_La-2ta2041735t1cvn,29-12-2025-Son_La-2ta2041735t1cvn.json,processed,ok,True,2,0,0,2,2,1,2076,1414,3490,0,False
one_call,30-01-2024-Son_La-2ta1414420t1cvn,30-01-2024-Son_La-2ta1414420t1cvn.json,processed,ok,True,3,0,0,3,3,1,2751,1467,4218,0,False
one_call,30-05-2025-Dong_Nai-2ta1972379t1cvn,30-05-2025-Dong_Nai-2ta1972379t1cvn.json,processed,ok,True,1,0,0,1,1,1,1428,608,2036,0,False
one_call,30-06-2025-Hai_Phong-2ta1861021t1cvn,30-06-2025-Hai_Phong-2ta1861021t1cvn.json,processed,ok,True,2,0,0,2,2,1,2126,954,3080,0,False
one_call,30-06-2025-Phu_Tho-2ta1846270t1cvn,30-06-2025-Phu_Tho-2ta1846270t1cvn.json,processed,ok,True,1,0,0,1,1,1,1610,620,2230,0,False
